iter	Passed	Remaining
0	238	119123
1	385	95888
2	529	87757
3	686	85105
4	865	85723
5	1051	86572
6	1158	81593
7	1284	79011
8	1459	79600
9	1689	82780
10	1850	82261
11	2023	82278
12	2192	82125
13	2385	82817
14	2564	82930
15	2787	84320
16	2976	84565
17	3240	86761
18	3392	85881
19	3588	86135
20	3809	86893
21	3977	86410
22	4156	86194
23	4304	85368
24	4458	84719
25	4575	83414
26	4808	84238
27	4941	83303
28	5117	83107
29	5234	82003
30	5350	80952
31	5518	80707
32	5681	80395
33	5786	79314
34	5988	79560
35	6155	79338
36	6315	79028
37	6478	78760
38	6685	79031
39	6816	78393
40	6962	77945
41	7158	78066
42	7325	77850
43	7502	77757
44	7623	77084
45	7750	76490
46	7940	76536
47	8088	76170
48	8208	75554
49	8364	75279
50	8497	74813
51	8663	74641
52	8771	73980
53	8905	73551
54	9069	73379
55	9219	73098
56	9317	72416
57	9496	72372
58	9663	72233
59	9853	72261
60	10000	71971
61	10198	72048
62	10375	71967
63	10566	71981
64	10682	71493
65	10844	71312
66	10996	71065
67	11197	71137
68	11293	70545
69	11437	70256
70	11615	70182
71	11758	69898
72	11945	69870
73	12150	69949
74	12281	69596
75	12458	69503
76	12598	69209
77	12723	68837
78	12876	68622
79	12993	68216
80	13152	68036
81	13367	68141
82	13583	68245
83	13750	68097
84	13878	67757
85	14013	67458
86	14177	67303
87	14294	66926
88	14535	67124
89	14776	67314
90	14896	66952
91	15047	66732
92	15194	66494
93	15386	66457
94	15559	66334
95	15694	66045
96	15835	65791
97	15950	65431
98	16095	65195
99	16222	64888
100	16379	64707
101	16542	64547
102	16699	64365
103	16844	64136
104	16991	63919
105	17107	63586
106	17150	62990
107	17283	62732
108	17409	62448
109	17588	62357
110	17715	62083
111	17905	62028
112	18071	61890
113	18265	61845
114	18420	61669
115	18590	61541
116	18744	61361
117	18893	61165
118	19084	61103
119	19261	60994
120	19410	60799
121	19562	60611
122	19712	60419
123	19916	60393
124	20106	60318
125	20281	60200
126	20416	59962
127	20516	59625
128	20694	59517
129	20843	59323
130	20975	59083
131	21128	58902
132	21300	58777
133	21426	58523
134	21564	58302
135	21732	58165
136	21909	58051
137	21917	57493
138	22034	57226
139	22280	57293
140	22433	57118
141	22626	57043
142	22793	56903
143	22988	56831
144	23188	56772
145	23365	56653
146	23553	56560
147	23718	56410
148	23913	56334
149	24081	56189
150	24210	55955
151	24457	55993
152	24613	55823
153	24754	55617
154	24883	55384
155	25025	55184
156	25143	54931
157	25313	54792
158	25493	54675
159	25669	54547
160	25786	54296
161	25930	54101
162	26080	53921
163	26339	53962
164	26553	53911
165	26670	53663
166	26854	53547
167	27003	53364
168	27169	53214
169	27326	53045
170	27475	52863
171	27627	52685
172	27826	52596
173	27936	52340
174	28073	52137
175	28271	52045
176	28425	51873
177	28556	51657
178	28654	51385
179	28781	51167
180	28870	50882
181	29055	50768
182	29205	50591
183	29314	50344
184	29480	50197
185	29645	50046
186	29804	49887
187	29965	49730
188	30114	49553
189	30219	49304
190	30374	49140
191	30530	48975
192	30679	48801
193	30816	48608
194	30979	48454
195	31166	48340
196	31315	48165
197	31454	47976
198	31629	47840
199	31718	47578
200	31897	47448
201	32042	47270
202	32237	47164
203	32386	46992
204	32584	46889
205	32717	46694
206	32841	46486
207	33014	46346
208	33026	45984
209	33160	45792
210	33266	45563
211	33398	45372
212	33504	45144
213	33647	44968
214	33819	44830
215	33942	44627
216	34039	44393
217	34143	44167
218	34296	44005
219	34425	43814
220	34594	43673
221	34741	43504
222	34877	43323
223	35023	43154
224	35174	42991
225	35361	42871
226	35528	42727
227	35653	42533
228	35770	42331
229	35885	42125
230	35989	41909
231	36073	41671
232	36180	41460
233	36289	41252
234	36389	41034
235	36495	40825
236	36595	40609
237	36710	40412
238	36842	40234
239	36936	40014
240	36979	39741
241	37052	39501
242	37123	39262
243	37198	39028
244	37265	38786
245	37341	38555
246	37411	38320
247	37497	38102
248	37580	37882
249	37651	37651
250	37732	37431
251	37811	37211
252	37896	36998
253	37965	36769
254	38035	36543
255	38112	36326
256	38175	36095
257	38240	35869
258	38312	35650
259	38381	35428
260	38462	35220
261	38536	35006
262	38605	34788
263	38686	34582
264	38760	34372
265	38842	34169
266	38929	33972
267	39014	33773
268	39119	33592
269	39198	33390
270	39299	33208
271	39418	33042
272	39520	32861
273	39598	32661
274	39678	32464
275	39761	32269
276	39848	32079
277	39942	31896
278	40012	31694
279	40108	31513
280	40190	31322
281	40265	31127
282	40361	30948
283	40437	30755
284	40496	30549
285	40570	30356
286	40656	30173
287	40754	30000
288	40828	29808
289	40856	29585
290	40927	29394
291	40994	29201
292	41070	29015
293	41131	28820
294	41209	28636
295	41263	28438
296	41336	28253
297	41411	28070
298	41488	27890
299	41558	27705
300	41639	27529
301	41705	27343
302	41770	27157
303	41854	26985
304	41925	26805
305	41992	26622
306	42078	26453
307	42137	26267
308	42214	26093
309	42287	25918
310	42357	25741
311	42433	25569
312	42518	25402
313	42591	25229
314	42671	25060
315	42753	24894
316	42826	24723
317	42911	24559
318	43006	24401
319	43090	24238
320	43173	24075
321	43212	23887
322	43287	23721
323	43363	23555
324	43453	23398
325	43536	23237
326	43634	23085
327	43711	22922
328	43792	22761
329	43899	22614
330	43994	22462
331	44068	22299
332	44153	22142
333	44241	21988
334	44314	21826
335	44380	21661
336	44451	21500
337	44525	21340
338	44604	21183
339	44684	21027
340	44748	20865
341	44824	20708
342	44911	20556
343	44971	20394
344	45040	20235
345	45112	20078
346	45207	19933
347	45297	19785
348	45361	19626
349	45431	19470
350	45501	19315
351	45580	19164
352	45655	19012
353	45723	18857
354	45811	18711
355	45897	18565
356	45980	18418
357	46058	18269
358	46124	18115
359	46201	17967
360	46281	17820
361	46369	17676
362	46446	17529
363	46538	17387
364	46632	17247
365	46721	17105
366	46802	16961
367	46899	16822
368	46996	16684
369	47076	16540
370	47157	16396
371	47226	16249
372	47312	16109
373	47399	15968
374	47478	15826
375	47552	15682
